flow_total_bytes,flow_duration_sec,flow_bytes_per_sec,ip_ttl_mean,pkt_size_mean,pkt_size_std,pkt_size_max,pkt_size_median,pkt_size_entropy,pkt_size_skewness,pkt_size_kurtosis,pkt_size_coeff_variation,pkt_size_iqr,ipt_mean,ipt_std,ipt_min,ipt_max,ipt_median,ipt_percentile_90,ipt_percentile_99,ipt_entropy,ipt_skewness,ipt_coeff_variation,ipt_iqr,ipt_autocorr_lag1,ipt_autocorr_lag2,ipt_autocorr_lag3,id_entropy,seq_entropy,payload_len_mean,payload_len_std,payload_len_entropy,label_binary,label_technique,label_protocol
2400.0,39.43225598335266,60.86387755783543,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0110834867526324,0.002636601949784487,1.0036723613739014,1.0180296897888184,1.0108740329742432,1.0138867855072022,1.0170283889770508,3.6280156368701606,0.005040790189115823,0.002607699546407039,0.004010558128356934,-0.11036965494122032,0.03791099016738549,-0.06490265175382617,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.42452836036682,60.875807519176355,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0108853425735083,0.003056129264570893,1.0036723613739014,1.0180296897888184,1.0108981132507324,1.0148634433746337,1.01776939868927,3.5924696276106762,0.03961334709508173,0.0030232204740357695,0.0038497447967529297,-0.23050582858834107,-0.03690234683161587,0.1413894867253485,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.43037986755371,60.86677348941548,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.011035381219326,0.0025217512663883116,1.0051202774047852,1.0173447132110596,1.0110385417938232,1.0148682117462158,1.0165882110595703,3.6635616461296445,0.04125966157786784,0.00249422652582844,0.0028867721557617188,-0.18584746600118168,-0.12161055230682095,0.37357807070598736,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.415531158447266,60.889703359627276,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0106546450883915,0.0020314265006592786,1.0047128200531006,1.0150794982910156,1.0107357501983643,1.0126400947570802,1.014998049736023,3.6635616461296445,-0.5712994517983329,0.0020100105516079737,0.002060413360595703,0.10705873494572768,-0.1033253907697552,-0.049371975893495304,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.388619899749756,60.9313046790768,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0099646128140962,0.002511939124399376,1.0039923191070557,1.0161335468292236,1.0104036331176758,1.0124298572540282,1.01510760307312,3.6635616461296445,-0.4590956029248538,0.002487155582016167,0.0025779008865356445,-0.08540546391841808,0.0628136999264825,0.009295855062800286,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.40923810005188,60.89942652296139,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.010493284616715,0.005089559415648554,1.0001046657562256,1.0310282707214355,1.010366439819336,1.0163436889648438,1.0262037801742554,3.6635616461296445,1.5053505215688538,0.00503670780709745,0.004485011100769043,-0.25786624861631996,-0.0904267590907984,-0.10061197527160046,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.442593574523926,60.8479256179078,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0113485531929212,0.004943473154855194,1.0001046657562256,1.0310282707214355,1.0108036994934082,1.0173025608062745,1.0262037801742554,3.6635616461296445,1.3170051403680099,0.004888001410837234,0.004329204559326172,-0.2624495560238119,-0.11181755075572525,-0.11795744494680858,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.43499445915222,60.85965100073696,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0111537040808263,0.0030040338527159657,1.0030138492584229,1.0177757740020752,1.011340618133545,1.0143679618835448,1.0177450609207153,3.6635616461296445,-0.029415840022098468,0.00297089734289876,0.004425048828125,0.010410942006680643,0.13489918750594476,-0.08483478407054325,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.43210792541504,60.8641060868353,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0110796903952575,0.0029586424818674236,1.0030138492584229,1.0176949501037598,1.011340618133545,1.0142579078674316,1.0174332094192504,3.6635616461296445,-0.26144892659939095,0.002926220860702694,0.0034515857696533203,-0.24961215418325833,0.12500112139964012,-0.21865218866563696,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
2400.0,39.45581245422363,60.827539739156656,64.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,1.011687498826247,0.0038603961195617705,0.9993879795074463,1.024158000946045,1.0119094848632812,1.0153439044952393,1.0214403009414672,3.6635616461296445,-0.08495087426472579,0.0038157989735373584,0.0033435821533203125,-0.30457340931575005,-0.08514882176801357,0.21012214714134875,3.6888794541139363,3.6888794541139363,32.0,0.0,0.0,0,0,ICMP
