fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_binary,label_protocol,label_technique
1399,73,338.90909090909093,500.7217435490593,1399,68,619.5833333333334,614.0997419438927,220,0.29721,0.0129221739130434,0.120017,0.0,0.0271906983386537,0.29721,0.029721,0.120706,0.0,0.0355226430210365,43158,443,11,3728,50031.96393122708,80.75098415261937,37.01086773661721,11,3728,0,UDP,0
100,100,100.0,0.0,165,100,123.6,29.152015367723724,60,0.16701,0.0417525,0.116385,0.0,0.0477491623827057,0.000152,7.6e-05,0.000152,0.0,7.6e-05,45937,53,3,300,3700.377222920784,29.93832704628465,17.962996227770795,3,300,0,UDP,0
71,71,71.0,0.0,215,71,122.2,63.51818637209347,60,0.189821,0.04745525,0.122976,0.0,0.0513786975767924,0.000182,9.1e-05,0.000182,0.0,9.1e-05,44219,53,3,213,3218.82194277767,26.34060509638028,15.804363057828166,3,213,0,UDP,0
73,73,73.0,0.0,217,73,124.2,63.51818637209347,60,0.167087,0.0417717499999999,0.086281,0.0,0.0417432191761428,0.000152,7.6e-05,0.000152,0.0,7.6e-05,35290,53,3,219,3716.6266675444526,29.9245303344964,17.95471820069784,3,219,0,UDP,0
71,71,71.0,0.0,231,71,124.33333333333331,75.42472332656507,40,0.075614,0.037807,0.075614,0.0,0.037807,0.0,0.0,0.0,0.0,0.0,55083,53,2,142,4932.948924802286,39.67519242468326,26.45012828312217,2,142,0,UDP,0
71,71,71.0,0.0,231,71,125.4,68.33330081300039,60,0.071505,0.01787625,0.071418,0.0,0.0309123641798471,8.7e-05,4.35e-05,8.7e-05,0.0,4.35e-05,38670,53,3,213,8768.617579190266,69.92518005733865,41.95510803440319,3,213,0,UDP,0
73,73,73.0,0.0,217,73,121.0,67.88225099390856,40,0.07239,0.036195,0.07239,0.0,0.036195,0.0,0.0,0.0,0.0,0.0,43447,53,2,146,5014.504765851637,41.44218814753419,27.628125431689465,2,146,0,UDP,0
1399,73,300.0,456.4448018576366,1399,68,810.8157894736842,619.0599348274666,280,0.454146,0.0122742162162162,0.106439,0.0,0.0261653828499217,0.364693,0.0280533076923076,0.106897,0.0,0.0330620921237243,60182,443,14,4200,67843.82115002665,83.6735323001854,30.82709084743673,14,4200,0,UDP,0
1399,83,807.3333333333334,547.467299885979,1399,69,1002.5,541.7397689599013,180,0.623906,0.0297098095238095,0.177777,0.0,0.0455764249058854,0.623906,0.07798825,0.237497,0.0,0.0826911828397532,45753,443,9,7266,35349.87642369203,35.261722118396044,14.425249957525654,9,7266,0,UDP,0
87,87,87.0,0.0,115,87,95.8,11.42628548566856,60,0.056998,0.0142495,0.056367,0.0,0.0243179079538105,0.00063,0.000315,0.00063,0.0,0.000315,58507,53,3,261,8403.80364223306,87.72237622372715,52.63342573423629,3,261,0,UDP,0
1399,73,322.38461538461536,467.52022390834986,1399,66,356.38461538461536,467.36611220780304,260,0.573398,0.02293592,0.084356,0.0,0.0287458992775247,0.573398,0.0477831666666666,0.169508,0.0,0.0464537014722424,50223,443,13,4191,16159.805231270428,45.34372285916589,22.671861429582943,13,4191,0,UDP,0
94,94,94.0,0.0,153,94,115.2,26.24042682579687,60,0.143478,0.0358695,0.142636,0.0,0.0616423842721061,7.8e-05,3.9e-05,7.8e-05,0.0,3.9e-05,58944,53,3,282,4014.55275373228,34.84854820948159,20.90912892568896,3,282,0,UDP,0
1399,73,540.3333333333334,607.9875729724159,1399,68,701.6923076923077,593.2349884146163,120,0.075591,0.00629925,0.032068,0.0,0.0116636721927887,0.075591,0.0151182,0.035176,0.0,0.0156797369671815,60447,443,6,3242,120675.74182111626,171.97814554642747,79.37452871373576,6,3242,0,UDP,0
