fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,fwd_header_len,flow_duration,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_mean,fwd_iat_max,fwd_iat_min,fwd_iat_std,src_port,dst_port,tot_fwd_pkts,totlen_fwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,subflow_fwd_pkts,subflow_fwd_byts,label_technique,label_binary,label_protocol
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682087,3.258276682,5.534652,0,2.055689421,71.682087,3.258276682,5.534652,0,2.055689421,36290,9935,23,2116,29.51922982,0.320861194,0.320861194,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682306,3.258286636,5.534499,0,2.055664893,71.682306,3.258286636,5.534499,0,2.055664893,36290,9936,23,2116,29.51913963,0.320860213,0.320860213,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682488,3.258294909,5.534265,0,2.055672282,71.682488,3.258294909,5.534265,0,2.055672282,36290,9937,23,2116,29.51906468,0.320859399,0.320859399,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682741,3.258306409,5.53411,0,2.055626724,71.682741,3.258306409,5.53411,0,2.055626724,36290,9938,23,2116,29.5189605,0.320858266,0.320858266,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.682606,3.258300273,5.533821,0,2.055460553,71.682606,3.258300273,5.533821,0,2.055460553,36290,9939,23,2116,29.51901609,0.320858871,0.320858871,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.683317,3.258332591,5.534512,0,2.055594744,71.683317,3.258332591,5.534512,0,2.055594744,36290,9940,23,2116,29.5187233,0.320855688,0.320855688,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.683561,3.258343682,5.53442,0,2.055575037,71.683561,3.258343682,5.53442,0,2.055575037,36290,9941,23,2116,29.51862283,0.320854596,0.320854596,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.683547,3.258343045,5.534619,0,2.055426684,71.683547,3.258343045,5.534619,0,2.055426684,36290,9942,23,2116,29.51862859,0.320854659,0.320854659,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.683716,3.258350727,5.534867,0,2.055448784,71.683716,3.258350727,5.534867,0,2.055448784,36290,9943,23,2116,29.518559,0.320853902,0.320853902,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.68367,3.258348636,5.534162,0,2.05545549,71.68367,3.258348636,5.534162,0,2.05545549,36290,9944,23,2116,29.51857794,0.320854108,0.320854108,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.683951,3.258361409,5.534152,0,2.055495304,71.683951,3.258361409,5.534152,0,2.055495304,36290,9945,23,2116,29.51846223,0.32085285,0.32085285,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.685252,3.258420545,5.533891,0,2.055393459,71.685252,3.258420545,5.533891,0,2.055393459,36290,9946,23,2116,29.5179265,0.320847027,0.320847027,23,2116,3,1,UDP
92,92,92.0,0.0,92,92,92.0,0.0,460,71.684867,3.258403045,5.534137,0,2.05532997,71.684867,3.258403045,5.534137,0,2.05532997,36290,9947,23,2116,29.51808504,0.32084875,0.32084875,23,2116,3,1,UDP
